00:00:00	Xerox
00:00:01	Xerox
00:00:02	Xerox
00:00:03	Xerox
00:00:04	Xerox
00:00:05	Xerox
00:00:06	Xerox
00:00:07	Xerox
00:00:08	Xerox
00:00:09	Xerox
00:00:0a	Omron Tateisi Electronics
00:00:0b	Matrix
00:00:0c	Cisco Systems
00:00:0d	Fibronics
00:00:0e	Fujitsu Limited
00:00:0f	Next
00:00:10	Sytek
00:00:11	Normerel Systemes
00:00:12	Information Technology Limited
00:00:13	Camex
00:00:14	Netronix
00:00:15	Datapoint
00:00:16	DU Pont Pixel Systems
00:00:17	Oracle
00:00:18	Webster Computer
00:00:19	Applied Dynamics International
00:00:1a	Advanced Micro Devices
00:00:1b	Novell
00:00:1c	Bell Technologies
00:00:1d	Cabletron Systems
00:00:1e	Telsist Industria Electronica
00:00:1f	Telco Systems
00:00:20	Dataindustrier Diab AB
00:00:21	Sureman Comp. & Commun.
00:00:22	Visual Technology
00:00:23	ABB Industrial Systems AB
00:00:24	Connect AS
00:00:25	Ramtek
00:00:26	SHA-KEN
00:00:27	Japan Radio Company
00:00:28	Prodigy Systems
00:00:29	IMC Networks
00:00:2a	TRW - Sedd/INP
00:00:2b	Crisp Automation
00:00:2c	Autotote Limited
00:00:2d	Chromatics
00:00:2e	Societe Evira
00:00:2f	Timeplex
00:00:30	VG Laboratory Systems
00:00:31	Qpsx Communications
00:00:32	Marconi plc
00:00:33	Egan Machinery Company
00:00:34	Network Resources
00:00:35	Spectragraphics
00:00:36	Atari
00:00:37	Oxford Metrics Limited
00:00:38	CSS Labs
00:00:39	Toshiba
00:00:3a	Chyron
00:00:3b	i Controls
00:00:3c	Auspex Systems
00:00:3d	Unisys
00:00:3e	Simpact
00:00:3f	Syntrex
00:00:40	Applicon
00:00:41	ICE
00:00:42	Metier Management Systems
00:00:43	Micro Technology
00:00:44	Castelle
00:00:45	Ford Aerospace & Comm.
00:00:46	Olivetti North America
00:00:47	Nicolet Instruments
00:00:48	Seiko Epson
00:00:49	Apricot Computers
00:00:4a	ADC Codenoll Technology
00:00:4b	ICL Data OY
00:00:4c	NEC
00:00:4d	DCI
00:00:4e	Ampex
00:00:4f	Logicraft
00:00:50	Radisys
00:00:51	HOB Electronic Gmbh & KG
00:00:52	Intrusion.com
00:00:53	Compucorp
00:00:54	Schneider Electric
00:00:55	Commissariat A L`Energie Atom.
00:00:56	DR. B. Struck
00:00:57	Scitex
00:00:58	Racore Computer Products
00:00:59	Hellige Gmbh
00:00:5a	SysKonnect GmbH
00:00:5b	Eltec Elektronik AG
00:00:5c	Telematics International
00:00:5d	CS Telecom
00:00:5e	Icann, Iana Department
00:00:5f	Sumitomo Electric Industries
00:00:60	Kontron Europe GmbH
00:00:61	Gateway Communications
00:00:62	Bull HN Information Systems
00:00:63	Barco Control Rooms Gmbh
00:00:64	Yokogawa Digital Computer
00:00:65	Network General
00:00:66	Talaris Systems
00:00:67	Soft * Rite
00:00:68	Rosemount Controls
00:00:69	Concord Communications
00:00:6a	Computer Consoles
00:00:6b	Silicon Graphics
00:00:6c	Schneider Electric
00:00:6d	Cray Communications
00:00:6e	Artisoft
00:00:6f	Madge
00:00:70	HCL Limited
00:00:71	Adra Systems
00:00:72	Miniware Technology
00:00:73	Siecor
00:00:74	Ricoh Company
00:00:75	Nortel Networks
00:00:76	Abekas Video System
00:00:77	Interphase
00:00:78	Labtam Limited
00:00:79	Networth Incorporated
00:00:7a	Dana Computer
00:00:7b	Research Machines
00:00:7c	Ampere Incorporated
